Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Location Type
Regular,FDX32,Fruits and Vegetables,2012,Tier 1
Low Fat,NCB42,Health and Hygiene,2022,Tier 3
Regular,FDR28,Frozen Foods,2010,Tier 1
Regular,FDL50,Canned,2000,Tier 3
Low Fat,DRI25,Soft Drinks,2015,Tier 2
low fat,FDS52,Frozen Foods,2020,Tier 2
Low Fat,NCU05,Health and Hygiene,2011,Tier 3
Low Fat,NCD30,Household,2015,Tier 2
Low Fat,FDW20,Fruits and Vegetables,2000,Tier 3
Low Fat,FDX25,Canned,1998,Tier 3
LF,FDX21,Snack Foods,1998,Tier 3
Low Fat,NCU41,Health and Hygiene,2017,Tier 2
Low Fat,FDL20,Fruits and Vegetables,2022,Tier 3
Low Fat,NCR54,Household,2000,Tier 3
Low Fat,FDH19,Meat,1998,Tier 3
Regular,FDB57,Fruits and Vegetables,2017,Tier 2
Low Fat,FDO23,Breads,2022,Tier 3
Low Fat,NCB07,Household,2012,Tier 1
Low Fat,FDJ56,Fruits and Vegetables,1998,Tier 3
Low Fat,DRN47,Hard Drinks,2022,Tier 3
Regular,FDZ07,Fruits and Vegetables,1998,Tier 3
Low Fat,NCK31,Others,1998,Tier 3
Low Fat,FDJ41,Frozen Foods,2022,Tier 3
Low Fat,DRI51,Dairy,2022,Tier 3
Regular,FDC40,Dairy,2020,Tier 2
Low Fat,FDB53,Frozen Foods,2020,Tier 2
Low Fat,FDA16,Frozen Foods,2017,Tier 2
Regular,FDO19,Fruits and Vegetables,1998,Tier 3
Low Fat,FDO04,Frozen Foods,2010,Tier 1
Regular,FDL25,Breakfast,2012,Tier 1
Low Fat,NCJ30,Household,2010,Tier 1
Low Fat,NCQ41,Health and Hygiene,2000,Tier 3
Low Fat,DRJ35,Hard Drinks,2000,Tier 3
Low Fat,NCE31,Household,2000,Tier 3
Low Fat,FDY09,Snack Foods,2020,Tier 2
low fat,FDZ04,Frozen Foods,2000,Tier 3
Low Fat,FDY07,Fruits and Vegetables,2015,Tier 2
Regular,FDO45,Snack Foods,2015,Tier 2
Low Fat,FDB09,Fruits and Vegetables,2012,Tier 1
Regular,FDP51,Meat,2010,Tier 1
Regular,FDT50,Dairy,2000,Tier 3
Regular,FDQ08,Fruits and Vegetables,1998,Tier 3
Low Fat,DRL11,Hard Drinks,2015,Tier 2
Low Fat,FDT34,Snack Foods,2012,Tier 1
Regular,FDP01,Breakfast,2011,Tier 3
Low Fat,NCJ31,Others,2000,Tier 3
Low Fat,NCL30,Household,2017,Tier 2
LF,FDF04,Frozen Foods,2012,Tier 1
LF,NCZ42,Household,2012,Tier 1
Low Fat,FDG24,Baking Goods,2012,Tier 1
Low Fat,FDV49,Canned,2012,Tier 1
Low Fat,FDX01,Canned,2012,Tier 1
Low Fat,DRF27,Dairy,2012,Tier 1
Low Fat,FDF16,Frozen Foods,2012,Tier 1
Low Fat,FDU04,Frozen Foods,2012,Tier 1
Low Fat,FDP04,Frozen Foods,2012,Tier 1
Low Fat,FDD05,Frozen Foods,2012,Tier 1
Low Fat,FDV07,Fruits and Vegetables,2012,Tier 1
Low Fat,FDT20,Fruits and Vegetables,2012,Tier 1
Low Fat,FDC44,Fruits and Vegetables,2012,Tier 1
Low Fat,DRM59,Hard Drinks,2012,Tier 1
Low Fat,DRG23,Hard Drinks,2012,Tier 1
Low Fat,NCJ29,Health and Hygiene,2012,Tier 1
Low Fat,NCM42,Household,2012,Tier 1
Low Fat,NCY42,Household,2012,Tier 1
Low Fat,NCX54,Household,2012,Tier 1
Low Fat,NCI06,Household,2012,Tier 1
Low Fat,NCQ02,Household,2012,Tier 1
Low Fat,NCR38,Household,2012,Tier 1
Low Fat,NCM30,Household,2012,Tier 1
Low Fat,FDK43,Meat,2012,Tier 1
Low Fat,FDK21,Snack Foods,2012,Tier 1
Low Fat,FDR45,Snack Foods,2012,Tier 1
Low Fat,FDV09,Snack Foods,2012,Tier 1
Regular,FDU12,Baking Goods,2012,Tier 1
Regular,FDZ47,Baking Goods,2012,Tier 1
Regular,FDO11,Breads,2012,Tier 1
Regular,FDU49,Canned,2012,Tier 1
Regular,FDA02,Dairy,2012,Tier 1
Regular,FDV26,Dairy,2012,Tier 1
Regular,FDA04,Frozen Foods,2012,Tier 1
Regular,FDO52,Frozen Foods,2012,Tier 1
Regular,FDA40,Frozen Foods,2012,Tier 1
Regular,FDS27,Meat,2012,Tier 1
Regular,FDU15,Meat,2012,Tier 1
Regular,FDV33,Snack Foods,2012,Tier 1
Regular,FDV34,Snack Foods,2012,Tier 1
Regular,FDX46,Snack Foods,2012,Tier 1
low fat,NCA53,Health and Hygiene,2012,Tier 1
reg,FDT24,Baking Goods,2012,Tier 1
reg,FDX27,Dairy,2012,Tier 1
LF,NCQ38,Others,1998,Tier 1
Low Fat,FDK02,Canned,1998,Tier 1
Low Fat,FDI15,Dairy,1998,Tier 1
